Gene	Symbol	Description At Homolog	
Zm00001d029263		Chaperonin	AT1G14980,AT1G23100
Zm00001d029264	ufg77	CDPK-related kinase 1	AT3G56760,AT2G41140
Zm00001d029266		calcium ion binding	AT3G56750,AT2G41150
Zm00001d029269		Probable protein phosphatase 2C 33	
Zm00001d029270	hsftf19	HSF-transcription factor 19	
Zm00001d029272		Peptidyl-prolyl cis-trans isomerase PASTICCINO1	
Zm00001d029274	pox2	guaiacol peroxidase2	
Zm00001d029279		Peroxidase 64	
Zm00001d029280		Peroxidase 64	
Zm00001d029281	magi23951	Novel plant SNARE 13	AT1G48240,AT3G17440
Zm00001d029285	pdlk1	pyruvate dehydrogenase (lipoamide) kinase1	AT3G06483
Zm00001d029286		Putative endonuclease or glycosyl hydrolase	AT5G61180,AT3G62210
Zm00001d029287	gbptf18	GeBP-transcription factor 18	AT5G28040,AT3G04930
Zm00001d029288		Cytochrome P450 709B2	AT4G27710,AT2G46950,AT2G46960
Zm00001d029289		Cytochrome P450 709B2	AT4G27710,AT2G46950,AT2G46960
Zm00001d029290		Cytochrome P450 CYP709H1	
Zm00001d029293	myb156	MYB-transcription factor 156	
Zm00001d029295		Actin-interacting protein 1-2	
Zm00001d029297		Protein phosphatase 2C 32	AT2G46920
Zm00001d029300		Low temperature viability protein	AT3G49990
Zm00001d029303	pco088994	CONTAINS InterPro DOMAIN/s: Hepatocellular carcinoma-associated antigen 59 (InterPro:IPR010756); Other Eukaryotes -  /.../ource: NCBI BLink).; Fungi - 109; Viruses - 5; Bacteria - 71; Has 1239 Blast hits to 998 proteins in 204 species: Archae - 4; Metazoa - 421; Plants - 87	AT1G02330
Zm00001d029305		Serine/arginine-rich SC35-like splicing factor SCL33	
Zm00001d029307		Triosephosphate isomerase cytosolic	
Zm00001d029309		Cellulose synthase-like protein E1	
Zm00001d029313		PLASMODESMATA CALLOSE-BINDING PROTEIN 5	
Zm00001d029314		Cationic amino acid transporter	AT3G13620
Zm00001d029316		Succinate dehydrogenase [ubiquinone] flavoprotein subunit 1 mitochondrial	
Zm00001d029317		 sudh11;succinate dehydrogenase11:	
Zm00001d029318		Probable polyamine transporter	
Zm00001d029319		Probable polyamine transporter	AT3G13620
Zm00001d029320		Probable polyamine transporter	AT3G13620
Zm00001d029321		Cationic amino acid transporter	AT3G13620
Zm00001d029324		Cystathionine gamma-synthase 1 chloroplastic	
Zm00001d029325		RNA-binding protein CP29B chloroplastic	AT3G53460,AT2G37220
Zm00001d029328		RNA-binding KH domain-containing protein	AT5G15270
Zm00001d029329		Polypyrimidine tract-binding protein homolog 1	AT3G01150
Zm00001d029331	TIDP3667	Probable apyrase 5	
Zm00001d029333		transferases transferring acyl groups	AT4G17910
Zm00001d029336		Probable methyltransferase PMT2	
Zm00001d029337		ATP binding protein	
Zm00001d029338		LYR motif-containing protein 7 isoform 2	AT4G02425
Zm00001d029339		Transcription factor bHLH47	AT3G47640
Zm00001d029340		40S ribosomal protein S9-2	
Zm00001d029341		Aldose 1-epimerase	AT3G47800
Zm00001d029342		tRNA pseudouridine synthase	AT1G34150
Zm00001d029343		Probable F-actin-capping protein subunit beta	AT1G71790
Zm00001d029348		Thioredoxin superfamily protein	
Zm00001d029350		3-ketoacyl-CoA synthase	AT1G07720,AT2G28630
Zm00001d029352		SAP domain-containing protein	AT4G39680
Zm00001d029353	bx12	benzoxazinone synthesis12	
Zm00001d029356	bx11	benzoxazinone synthesis11	AT4G35150,AT4G35160
Zm00001d029357		AT3G23300 (E=2e-039) | dehydration-responsive protein-related	
Zm00001d029359	bx10	benzoxazinone synthesis10	AT4G35150,AT4G35160
Zm00001d029360		Granule-bound starch synthase 1 chloroplastic/amyloplastic	
Zm00001d029362		Putative fucosyltransferase-like protein	
Zm00001d029365		Non-specific lipid transfer protein-like 1	
Zm00001d029366		Transducin/WD40 repeat-like superfamily protein	AT1G36070,AT1G78070
Zm00001d029371	trpp14	trehalose-6-phosphate phosphatase14	
Zm00001d029372		Serine carboxypeptidase-like 40	
Zm00001d029373	csu649(scp)	Serine carboxypeptidase-like 40	
Zm00001d029375	pza02791	P-loop containing nucleoside triphosphate hydrolases superfamily protein	AT2G38770
Zm00001d029378		Protein LNK1	AT5G64170
Zm00001d029380		Splicing factor%2C arginine/serine-rich 2	
Zm00001d029383		WAT1-related protein	
Zm00001d029384		Cytochrome P450 709B2	
Zm00001d029385		AAA-type ATPase family protein	
Zm00001d029386		alpha/beta-Hydrolases superfamily protein	AT4G39955,AT5G09430,AT1G78210
Zm00001d029387		LOL3	
Zm00001d029388		Metacaspase-3	
Zm00001d029389		LOL3	
Zm00001d029391		Phospho-2-dehydro-3-deoxyheptonate aldolase 2 chloroplastic	AT1G22410
Zm00001d029392	jmj17	JUMONJI-transcription factor 17	AT1G78280
Zm00001d029393		Cytochrome c oxidase subunit 6b-1	AT1G22450
Zm00001d029394	uaz248a(his3)	Histone H3	AT5G10980,AT4G40040
Zm00001d029395		E3 ubiquitin-protein ligase ATL6	
Zm00001d029396		Os10g0351100 protein	
Zm00001d029397	pld7	phospholipase D7	
Zm00001d029398		Serine/threonine-protein kinase PEPKR2	
Zm00001d029400		Vesicle transport v-SNARE 12	
Zm00001d029402	umc2227	conserved peptide upstream open reading frame 37	AT5G64340,AT5G09460
Zm00001d029407		Cyclin-D2-1	
Zm00001d029408		GTP-binding protein 1	AT5G52210
Zm00001d029409		Chaperone DnaJ-domain superfamily protein	
Zm00001d029410		Serine carboxypeptidase-like 51	AT2G27920
Zm00001d029412	matl1	matrilineal1	
Zm00001d029413		phosphoglycerate/bisphosphoglycerate mutase	AT1G78050,AT1G22170
Zm00001d029415		2-isopropylmalate synthase 1 chloroplastic	
Zm00001d029416		Probable acetyl-CoA acetyltransferase cytosolic 2	AT5G48230
Zm00001d029417		P-loop containing nucleoside triphosphate hydrolases superfamily protein	AT3G50620,AT2G15730,AT4G34420
Zm00001d029418		Ribosomal protein L37	AT1G52300,AT3G16080,AT1G15250
Zm00001d029419		Probable protein phosphatase 2C 12	AT1G47380
Zm00001d029420	csu452	 csu452; :	AT2G26570,AT4G33390
Zm00001d029426		Splicing factor arginine/serine-rich	AT4G36980
Zm00001d029428		Putative pentatricopeptide repeat-containing protein  mitochondrial	AT4G33990
Zm00001d029429		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	AT1G45231
Zm00001d029432		Vacuolar cation/proton exchanger 2	AT1G55720,AT1G55730,AT3G13320
Zm00001d029435		Transducin/WD40 repeat-like superfamily protein	AT1G10580
Zm00001d029437	platz2	PLATZ-transcription factor 2	
Zm00001d029438		RING-H2 finger protein ATL3	
Zm00001d029441	pme18	pectin methylesterase18	
Zm00001d029442	umc1150	F-box only protein 13	
Zm00001d029443		1-phosphatidylinositol-3-phosphate 5-kinase FAB1B	AT3G14270
Zm00001d029444		Retrotransposon protein	
Zm00001d029446		hydroxyproline-rich glycoprotein family protein	AT5G21280
Zm00001d029447		Whole genome shotgun sequence of line PN40024 scaffold_16.assembly12x (Fragment)	AT1G19200,AT5G20700,AT1G74940
Zm00001d029448	zim24	ZIM-transcription factor 24	AT1G19180,AT1G74950
Zm00001d029449		3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 2	
Zm00001d029451		3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 2	
Zm00001d029454	ufg43	Sterol-4-alpha-carboxylate 3-dehydrogenase%2C decarboxylating	AT1G47290,AT2G26260
Zm00001d029455		Ubiquinone biosynthesis protein COQ9 mitochondrial	AT1G19140
Zm00001d029457	nrx1	nucleoredoxin1	AT1G60420
Zm00001d029458		Mevalonate kinase	
Zm00001d029459		Probable nucleoredoxin 1	AT1G60420
Zm00001d029460		Ids4-like protein	AT2G45130
Zm00001d029461	laz6	lazarus ortholog6	AT1G23070
Zm00001d029462		inter-alpha-trypsin inhibitor heavy chain-related	
Zm00001d029464		GS3-like protein	
Zm00001d029468		root-specific kinase 1	
Zm00001d029473		Transcription initiation factor TFIID subunit 9	AT1G54140
Zm00001d029474	gras27	GRAS-transcription factor 27	AT3G13840
Zm00001d029475		ATP-dependent protease La (LON) domain protein	
Zm00001d029476		MOB kinase activator-like 2A	
Zm00001d029478	IDP511	MOB kinase activator-like 2A	
Zm00001d029482		NAD(P)-binding Rossmann-fold superfamily protein	AT1G72640
Zm00001d029483		Probable small nuclear ribonucleoprotein G	AT2G23930,AT3G11500
Zm00001d029487		GBF-interacting protein 1	
Zm00001d029489	ca2p3	CCAAT-HAP2-transcription factor 23	
Zm00001d029490	pco121831	E3 ubiquitin-protein ligase BRE1-like 2	AT1G55250
Zm00001d029497		Zinc transporter 2	AT5G59520,AT1G55910
Zm00001d029499	umc2532	 protein; Expressed protein	
Zm00001d029502		Glucose-6-phosphate 1-dehydrogenase	AT5G35790
Zm00001d029505		Nuclear transcription factor Y subunit B-2	
Zm00001d029506	lbd5	LBD-transcription factor 5	AT3G02550,AT1G67100
Zm00001d029510		Urease	
Zm00001d029511		Eukaryotic translation initiation factor 3 subunit E	
Zm00001d029512	dof36	C2C2-Dof-transcription factor 36	
Zm00001d029515		ACT domain-containing protein ACR4	AT1G69040,AT2G03730
Zm00001d029516		Probable galacturonosyltransferase 11	AT1G18580
Zm00001d029518		 protein; Expressed protein	
Zm00001d029519		Cytochrome P450 99A2	
Zm00001d029523		Alpha-humulene/(-)-(E)-beta-caryophyllene synthase	
Zm00001d029525	IDP1953	Probable 6-phosphogluconolactonase 1	AT1G13700
Zm00001d029526	cyp18	cytochrome P-450 18	AT1G13710,AT1G74110
Zm00001d029527	magi107220	Protein SPIRAL1	AT1G26355,AT1G69230
Zm00001d029528		General transcription factor 2-related zinc finger protein	
Zm00001d029529	bnl9.11b(lts)	 bnl9.11b(lts); :	AT3G29575,AT1G13740,AT1G69260
Zm00001d029530		binding	AT1G79150
Zm00001d029531		 protein; Expressed protein	
Zm00001d029534		SPFH/Band 7/PHB domain-containing membrane-associated protein family	AT2G03510
Zm00001d029535		ATPase 2 plasma membrane-type	
Zm00001d029537	nfyc2	nuclear transcription factor y subunit c2	
Zm00001d029539	umc2228	PLASMODESMATA CALLOSE-BINDING PROTEIN 2	
Zm00001d029540		F-box protein	AT5G39250
Zm00001d029543		40S ribosomal protein S19-3	
Zm00001d029544		DUF2431 domain protein	
Zm00001d029545		WAT1-related protein	
Zm00001d029546		Metallothionein-like protein 1	
Zm00001d029548	csu323	 csu323; : similar to Arabidopsis 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	AT2G36230
Zm00001d029550	dgk4	diacylglycerol kinase4	
Zm00001d029552		DNA binding protein	
Zm00001d029553		C2H2-like zinc finger protein	
Zm00001d029554		Eukaryotic translation initiation factor 3 subunit E	
Zm00001d029555		Ubiquitin-fusion protein	AT5G15460,AT3G01050
Zm00001d029557		Chaperone protein ClpB3 chloroplastic	
Zm00001d029558		Pathogenesis-related protein 1	AT5G02730,AT3G09590
Zm00001d029559		EID1-like F-box protein 2	AT5G39360,AT5G15440
Zm00001d029560		RING/U-box superfamily protein	AT3G29270
Zm00001d029561		Probable ubiquitin conjugation factor E4	AT5G15400
Zm00001d029563		 protein; Pentatricopeptide (PPR) repeat-containing protein-like	
Zm00001d029564	wrky75	WRKY-transcription factor 75	
Zm00001d029566		DUF1336 domain containing protein expressed	
Zm00001d029568		Cysteine protease	
Zm00001d029571		zinc finger (C3HC4-type RING finger) family protein	AT1G18660
Zm00001d029572		zinc finger (C3HC4-type RING finger) family protein	AT1G18660
Zm00001d029573	rgd2	ragged seedling2	AT1G69440
Zm00001d029574		cytochrome P450 family 96 subfamily A polypeptide 1	
Zm00001d029575		Protein transport protein SEC31 homolog B	
Zm00001d029576	cl40218_1	PRKR interacting protein 1	AT2G15270
Zm00001d029577	aas1	auxin amido synthetase 1	AT2G23170,AT2G14960,AT4G37390
Zm00001d029578		 protein; Expressed protein	
Zm00001d029580		3-oxo-Delta(45)-steroid 5-beta-reductase	AT4G24220
Zm00001d029581		3-oxo-Delta(45)-steroid 5-beta-reductase	AT4G24220
Zm00001d029582		3-oxo-Delta(45)-steroid 5-beta-reductase	AT4G24220
Zm00001d029583		Polygalacturonase inhibitor 1	
Zm00001d029584		Zinc finger protein AZF2	AT5G67450,AT5G04340,AT5G43170,AT1G27730,AT3G19580
Zm00001d029585		late embryogenesis abundant protein-related / LEA protein-related	
Zm00001d029586		Zinc finger protein AZF2	AT5G67450,AT5G04340,AT5G43170,AT1G27730,AT3G19580
Zm00001d029587		Zinc finger protein AZF2	AT5G67450,AT5G04340,AT5G43170,AT1G27730,AT3G19580
Zm00001d029589		Zinc finger protein AZF2	AT5G67450,AT5G04340,AT5G43170,AT1G27730,AT3G19580
Zm00001d029590	IDP1473	Probable esterase KAI2	AT4G37470
Zm00001d029592		Protein ROOT HAIR DEFECTIVE 3	
Zm00001d029594	aoc1	allene oxide cyclase1	AT3G25780,AT1G13280,AT3G25770,AT3G25760
Zm00001d029595		zinc-binding protein	
Zm00001d029596		Guanosine nucleotide diphosphate dissociation inhibitor	
Zm00001d029597		Leucine-rich repeat (LRR) family protein	
Zm00001d029598		Transcription initiation factor TFIID subunit 4b	AT5G43130,AT1G27720
Zm00001d029601		LOB domain-containing protein 38	
Zm00001d029602	lbd6	LBD-transcription factor 6	
Zm00001d029603		interferon-related developmental regulator family protein / IFRD protein family	AT1G27760
Zm00001d029604		Peroxidase 2	
Zm00001d029605		Pectin acetylesterase 9	
Zm00001d029606		Big map kinase/bmk	
Zm00001d029607	gras58	GRAS-transcription factor 58	AT4G37650
Zm00001d029608		Mechanosensitive ion channel protein 3 chloroplastic	AT5G10490,AT1G58200
Zm00001d029609		calcium-dependent kinase family protein	
Zm00001d029611		Arabinosyltransferase RRA3	AT1G19360,AT1G75110
Zm00001d029613		Cytochrome P450 71D7	
Zm00001d029617		ZCF37	AT1G59590,AT1G10220
Zm00001d029619		UDP-glycosyltransferase 74B1	AT2G43840,AT2G43820
Zm00001d029620	pco128943a	UDP-glycosyltransferase 74B1	AT2G43840,AT2G43820
Zm00001d029626		Xanthine dehydrogenase 1	
Zm00001d029628	psei7	cystatin7	AT5G47550
Zm00001d029629		Serine/arginine-rich SC35-like splicing factor SCL33	
Zm00001d029630	psei6	cystatin6	AT5G47550
Zm00001d029631	psei8	cystatin8	AT5G47550
Zm00001d029632	cptk1	chloroplast thymidine kinase1	AT3G07800
Zm00001d029635		Putative UPF0481 protein	
Zm00001d029636		Protein SRG1	
Zm00001d029638		Iron-sulfur cluster assembly protein 1	
Zm00001d029641		Helicase	
Zm00001d029642		RNA polymerase II transcription mediators	
Zm00001d029644		Carboxyl-terminal-processing peptidase 1 chloroplastic	
Zm00001d029645		Putative polyol transporter 1	AT3G18830
Zm00001d029648	cpps2	copalyl diphosphate synthase2	AT4G02780
Zm00001d029649	gpm341	Plant UBX domain-containing protein 10	AT4G10790
Zm00001d029650		HIT zinc finger family protein	AT5G63830
Zm00001d029651		binding	
Zm00001d029652		5-oxoprolinase	AT5G37830
Zm00001d029653		methyltransferases;copper ion binding	AT1G64600
Zm00001d029654	tre1	trehalase1	AT4G24040
Zm00001d029656	adf11	actin depolymerizing factor11	
Zm00001d029657		Mitochondrial inner membrane protein OXA1	AT2G46470,AT5G62050
Zm00001d029662	bnlg2295	 bnlg2295; :	
Zm00001d029663	IDP376	Pollen ankyrin-like protein	AT5G07270
Zm00001d029664		Shaggy-related protein kinase theta	AT4G00720
Zm00001d029667	umc2229	Membrane protein	
Zm00001d029668		RHOMBOID-like protein 3	
Zm00001d029672		Chaperone protein ClpC1 chloroplastic	
Zm00001d029673		F-box protein PP2-A13	AT3G61060
Zm00001d029674	pet2	photosynthetic electron transport2	AT5G52110
Zm00001d029675		ARM repeat superfamily protein	AT2G45720
Zm00001d029677		Protein DETOXIFICATION 49	AT4G23030
Zm00001d029679	ereb188	AP2-EREBP-transcription factor 188	
Zm00001d029681		peptidoglycan-binding LysM domain-containing protein	AT5G62150
Zm00001d029683	ms20	male sterile20	AT1G12570
Zm00001d029684	pld9	phospholipase D9	AT4G00240,AT2G42010
Zm00001d029686		Subtilisin-like protease	
Zm00001d029688		cytochrome P450 family 704 subfamily A polypeptide 2	
Zm00001d029693		P-loop containing nucleoside triphosphate hydrolases superfamily protein	
Zm00001d029696	gst34	glutathione transferase34	AT1G59700,AT1G10370,AT1G10360,AT1G59670
Zm00001d029697		Complex 1 protein containing protein	AT2G39725
Zm00001d029699	gst42	glutathione transferase42	AT1G59700,AT1G10370,AT1G10360,AT1G59670
Zm00001d029700	gst32	glutathione transferase32	
Zm00001d029701	gst40	glutathione transferase40	
Zm00001d029702		Glutathione S-transferase U16	
Zm00001d029703		Glutathione S-transferase U16	AT1G59700,AT1G10370,AT1G10360,AT1G59670
Zm00001d029704	gst37	glutathione transferase37	AT1G59700,AT1G10370,AT1G10360,AT1G59670
Zm00001d029705		ubiquitin carrier protein 7	
Zm00001d029706	gst39	glutathione transferase39	
Zm00001d029707	gst38	glutathione transferase38	
Zm00001d029708	gst30	glutathione transferase30	
Zm00001d029711	bzip78	bZIP-transcription factor 78	
Zm00001d029715		alpha/beta-Hydrolases superfamily protein	AT1G64670,AT5G41900
Zm00001d029716		Heavy metal transport/detoxification superfamily protein	AT1G01490
Zm00001d029717		Protein LAZ1 homolog 2	
Zm00001d029718	ofp5	OVATE-transcription factor 5	
Zm00001d029719		C-terminal binding protein AN	AT1G01510
Zm00001d029720		ABC-type Co2+ transport system%2C permease component	AT5G52780
Zm00001d029721	asg3	 asg3; : NCBI identifies as "putative protein kinase superfamily protein"	
Zm00001d029723		Mu-crystallin	AT5G52810
Zm00001d029725	csu3	 csu3; : cDNA partially sequenced, weak homology to yeast heat shock protein 26, SwissProt P15992 and to leghemoglobin, GenBank accession M91075	AT4G25680,AT4G25660
Zm00001d029728		Embryogenesis transmembrane protein-like	
Zm00001d029730	IDP839	 protein; Expressed protein	
Zm00001d029732		Glutamate synthase 1 [NADH] chloroplastic	
Zm00001d029733		TKL_IRAK_CrRLK1L-1.16 - The CrRLK1L-1 subfamily has homology to the CrRLK1L homolog expressed	
Zm00001d029734		fringe-related protein	AT5G41460,AT4G11350,AT4G23490
Zm00001d029736	hb100	Homeobox-transcription factor 100	
Zm00001d029737		TATA-box-binding protein 2	
Zm00001d029738		Alpha/beta hydrolase related protein	
Zm00001d029740	uce16	ubiquitin-conjugating enzyme16	AT3G57870
Zm00001d029742		F-box protein At-B	
Zm00001d029743		RNA polymerase II C-terminal domain phosphatase-like 1	
Zm00001d029744	fnsi1	flavone synthase typeI1	AT5G24530
Zm00001d029745	IDP1986	Protein CURVATURE THYLAKOID 1B chloroplastic	AT2G46820
Zm00001d029747	umc1243	Peroxidase 64	
Zm00001d029749	abi34	ABI3-VP1-transcription factor 34	
Zm00001d029752		Retrovirus-related Pol polyprotein LINE-1	AT4G10465,AT2G18196
Zm00001d029753	TIDP2770	Tobamovirus multiplication protein 3	AT2G02180,AT1G14530
Zm00001d029754		P-loop containing nucleoside triphosphate hydrolases superfamily protein	
Zm00001d029757		Pmr5/Cas1p GDSL/SGNH-like acyl-esterase family protein	AT3G03210
Zm00001d029758		Calcium-dependent protein kinase 6	
Zm00001d029760		BEACH domain-containing protein C2	
Zm00001d029761		Protein PLASTID MOVEMENT IMPAIRED 1	AT1G42550
Zm00001d029762	gpm305	Hexose transporter	AT4G35300
Zm00001d029763		RING-H2 finger protein ATL80	
Zm00001d029764		Putative pentatricopeptide repeat-containing protein  mitochondrial	AT3G25060
Zm00001d029766		tRNA-splicing endonuclease subunit Sen2-2	
Zm00001d029768	mlo2	barley mlo defense gene homolog2	AT1G42560,AT2G33670
Zm00001d029771		KH domain-containing protein	
Zm00001d029772		Ca2+/calmodulin-dependent protein kinase phosphatase	AT2G33700
Zm00001d029776		Serine carboxypeptidase-like 34	
Zm00001d029777		Protein EXORDIUM-like 5	AT2G17230
Zm00001d029778	mtl2	metallothionein2	AT2G23240,AT2G42000
Zm00001d029782		Ubiquitin domain-containing protein DSK2b	AT2G17190,AT2G17200
Zm00001d029783		Expansin-like A2	AT3G45970,AT3G45960,AT4G38400
Zm00001d029784		DUF241 domain protein	AT1G76240
Zm00001d029785		Probable serine/threonine-protein kinase	AT4G35230
Zm00001d029793		Glutathione S-transferase F9	
Zm00001d029794		Basic endochitinase B	
Zm00001d029797		Transducin family protein / WD-40 repeat family protein	
